FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
151213;0000;;;1,50829;
151214;0000;;;1,45887;
151215;0000;;;3,75954;
151216;0000;15,3478;;;
151217;0000;15,9366;;;
151218;0000;15,9536;;;
151219;0000;7,86711;;;
151220;0000;11,4162;;;
151221;0000;11,5154;;;
151222;0000;11,8305;;;
151223;0000;9,95036;;;
151224;0000;12,2798;;;
151225;0000;8,43857;;;
151226;0000;14,0064;;;
151227;0000;10,6815;;;
151228;0000;9,63008;;;
151229;0000;8,26953;;;
151230;0000;8,45181;;;
151231;0000;18,8013;;;
160101;0000;9,15137;;;
160102;0000;6,96353;;;
160103;0000;9,00612;;;
160104;0000;10,9798;;;
160105;0000;13,1788;;;
160106;0000;5,18359;;;
160107;0000;7,06178;;;
160108;0000;6,31643;;;
160109;0000;4,19774;;;
160110;0000;1,92883;;;
160111;0000;2,64404;;;
160112;0000;2,81862;;;
160113;0000;1,731;;;
160114;0000;3,28424;;;
160115;0000;4,12582;;;
160116;0000;5,2352;;;
160117;0000;2,19912;;;
160118;0000;4,38691;;;
160119;0000;4,67041;;;
160120;0000;6,14537;;;
160121;0000;7,81745;;;
160122;0000;1,80712;;;
160123;0000;3,77991;;;
160124;0000;5,48958;;;
160125;0000;6,09782;;;
160126;0000;11,929;;;
160127;0000;10,7976;;;
160128;0000;2,65058;;;
160129;0000;5,99412;;;
160130;0000;7,86836;;;
160131;0000;4,88903;;;
160201;0000;6,24466;;;
160202;0000;6,41809;;;
160203;0000;2,22117;;;
160204;0000;29,6404;;;
160205;0000;19,5698;;;
160206;0000;22,8184;;;
160207;0000;15,2664;;;
160208;0000;5,3864;;;
160209;0000;2,62733;;;
160210;0000;6,7292;;;
160211;0000;1,75283;;;
160212;0000;5,3962;;;
160213;0000;3,85812;;;
160214;0000;2,21762;;;
160215;0000;;3,79329;;
160216;0000;;6,57124;;
160217;0000;7,45366;;;
160218;0000;6,20387;;;
160219;0000;5,09441;;;
160220;0000;6,63712;;;
160221;0000;7,93074;;;
160222;0000;7,26745;;;
160223;0000;17,3577;;;
160224;0000;;5,0535;;
160225;0000;4,64749;;;
160226;0000;7,62169;;;
160227;0000;11,146;;;
160228;0000;17,3463;;;
160229;0000;17,3658;;;
160301;0000;15,5214;;;
160302;0000;14,4477;;;
160303;0000;4,73186;;;
160304;0000;5,60874;;;
160305;0000;9,49791;;;
160306;0000;5,03691;;;
160307;0000;7,21552;;;
160308;0000;6,99158;;;
160309;0000;19,0834;;;
160310;0000;9,66832;;;
160311;0000;14,295;;;
160312;0000;19,4198;;;
160313;0000;18,386;;;
160314;0000;15,6848;;;
160315;0000;9,05841;;;
160316;0000;18,2616;;;
160317;0000;11,4762;;;
160318;0000;7,07945;;;
160319;0000;8,55524;;;
160320;0000;5,46545;;;
160321;0000;5,63049;;;
160322;0000;4,90227;;;
160323;0000;12,6378;;;
160324;0000;20,7356;;;
160325;0000;46,6003;;;
160326;0000;50,7611;;;
160327;0000;23,9284;;;
160328;0000;15,9819;;;
160329;0000;38,7568;;;
160330;0000;14,9118;;;
160331;0000;24,3385;;;
160401;0000;34,7733;;;
160402;0000;14,8538;;;
160403;0000;17,7905;;;
160404;0000;22,1963;;;
160405;0000;66,8787;;;
160406;0000;41,5391;;;
160407;0000;33,5919;;;
160408;0000;48,1061;;;
160409;0000;143,743;;;
160410;0000;137,358;;;
160411;0000;146,935;;;
160412;0000;161,548;;;
160413;0000;45,7803;;;
160414;0000;43,3916;;;
160415;0000;25,7516;;;
160416;0000;22,0085;;;
160417;0000;56,6277;;;
160418;0000;47,2745;;;
160419;0000;34,1162;;;
160420;0000;22,4623;;;
160421;0000;34,2;;;
160422;0000;108,525;;;
160423;0000;94,8457;;;
160424;0000;129,904;;;
160425;0000;230,681;;;
160426;0000;393,6;;;
160427;0000;372,437;;;
160428;0000;111,491;;;
160429;0000;331,545;;;
160430;0000;191,531;;;
160501;0000;274,965;;;
160502;0000;328,308;;;
160503;0000;206,586;;;
160504;0000;253,548;;;
160505;0000;209,996;;;
160506;0000;247,86;;;
160507;0000;175,011;;;
160508;0000;52,8428;;;
160509;0000;43,9899;;;
160510;0000;40,5997;;;
160511;0000;68,8339;;;
160512;0000;184,205;;;
160513;0000;137,874;;;
160514;0000;51,4706;;;
160515;0000;45,8916;;;
160516;0000;95,6686;;;
160517;0000;144,646;;;
160518;0000;64,2738;;;
160519;0000;255,171;;;
160520;0000;498,024;;;
160521;0000;520,161;;;
160522;0000;497,907;;;
160523;0000;377,994;;;
160524;0000;331,557;;;
160525;0000;25,595;;;
160526;0000;35,8033;;;
160527;0000;160,687;;;
160528;0000;386,477;;;
160529;0000;272,837;;;
160530;0000;210,925;;;
160531;0000;129,348;;;
160601;0000;170,374;;;
160602;0000;278,37;;;
160603;0000;273,354;;;
160604;0000;114,547;;;
160605;0000;18,3155;;;
160606;0000;25,6645;;;
160607;0000;40,8851;;;
160608;0000;81,8379;;;
160609;0000;171,06;;;
160610;0000;143,487;;;
160611;0000;86,3645;;;
160612;0000;165,989;;;
160613;0000;55,7896;;;
160614;0000;65,9042;;;
160615;0000;64,1899;;;
160616;0000;33,8572;;;
160617;0000;90,5132;;;
160618;0000;190,351;;;
160619;0000;383,536;;;
160620;0000;350,992;;;
160621;0000;89,9484;;;
160622;0000;180,888;;;
160623;0000;91,0333;;;
160624;0000;42,7071;;;
160625;0000;45,4804;;;
160626;0000;96,0963;;;
160627;0000;203,718;;;
160628;0000;189,196;;;
160629;0000;29,7808;;;
160630;0000;95,1917;;;
160701;0000;133,471;;;
160702;0000;393,06;;;
160703;0000;132,342;;;
160704;0000;16,8587;;;
160705;0000;29,7202;;;
160706;0000;29,9142;;;
160707;0000;35,4188;;;
160708;0000;38,5787;;;
160709;0000;44,4379;;;
160710;0000;119,312;;;
160711;0000;119,973;;;
160712;0000;98,5658;;;
160713;0000;74,9354;;;
160714;0000;55,5649;;;
160715;0000;102,244;;;
160716;0000;80,4579;;;
160717;0000;123,631;;;
160718;0000;163,129;;;
160719;0000;259,817;;;
160720;0000;112,83;;;
160721;0000;87,8187;;;
160722;0000;87,0704;;;
160723;0000;120,395;;;
160724;0000;244,969;;;
160725;0000;117,598;;;
160726;0000;180,163;;;
160727;0000;83,9567;;;
160728;0000;198,152;;;
160729;0000;176,04;;;
160730;0000;197,425;;;
160731;0000;195,52;;;
160801;0000;259,905;;;
160802;0000;260,767;;;
160803;0000;151,404;;;
160804;0000;70,4333;;;
160805;0000;42,5623;;;
160806;0000;67,868;;;
160807;0000;38,8629;;;
160808;0000;26,9916;;;
160809;0000;34,6334;;;
160810;0000;69,098;;;
160811;0000;34,3747;;;
160812;0000;81,0254;;;
160813;0000;57,5187;;;
160814;0000;110,557;;;
160815;0000;140,087;;;
160816;0000;163,561;;;
160817;0000;;;;
160818;0000;;;;
160819;0000;127,337;;;
160820;0000;72,09;;;
160821;0000;19,8332;;;
160822;0000;42,7137;;;
160823;0000;36,6417;;;
160824;0000;114,823;;;
160825;0000;114,041;;;
160826;0000;44,9574;;;
160827;0000;71,1598;;;
160828;0000;79,4662;;;
160829;0000;59,9896;;;
160830;0000;33,9255;;;
160831;0000;25,9496;;;
160901;0000;38,514;;;
160902;0000;164,805;;;
160903;0000;240,352;;;
160904;0000;188,573;;;
160905;0000;71,3085;;;
160906;0000;67,825;;;
160907;0000;55,5058;;;
160908;0000;44,6929;;;
160909;0000;67,3174;;;
160910;0000;86,0781;;;
160911;0000;96,9037;;;
160912;0000;27,1725;;;
160913;0000;42,5435;;;
160914;0000;30,5916;;;
160915;0000;26,7526;;;
160916;0000;65,3684;;;
160917;0000;80,311;;;
160918;0000;69,8612;;;
160919;0000;54,2341;;;
160920;0000;19,9626;;;
160921;0000;24,3567;;;
160922;0000;26,8365;;;
160923;0000;67,6147;;;
160924;0000;122,848;;;
160925;0000;74,6652;;;
160926;0000;31,9461;;;
160927;0000;82,1121;;;
160928;0000;58,0492;;;
160929;0000;46,3904;;;
160930;0000;55,74;;;
161001;0000;34,359;;;
161002;0000;84,7388;;;
161003;0000;84,135;;;
161004;0000;37,0416;;;
161005;0000;36,0074;;;
161006;0000;23,619;;;
161007;0000;45,0223;;;
161008;0000;37,8602;;;
161009;0000;12,0292;;;
161010;0000;15,2196;;;
161011;0000;20,5686;;;
161012;0000;23,169;;;
161013;0000;11,3318;;;
161014;0000;25,54;;;
161015;0000;51,4412;;;
161016;0000;62,0912;;;
161017;0000;33,3262;;;
161018;0000;55,0683;;;
161019;0000;49,1722;;;
161020;0000;12,9958;;;
161021;0000;23,2881;;;
161022;0000;32,9359;;;
161023;0000;33,7349;;;
161024;0000;20,6393;;;
161025;0000;12,4525;;;
161026;0000;12,6008;;;
161027;0000;15,8524;;;
161028;0000;10,8291;;;
161029;0000;6,03184;;;
161030;0000;6,13658;;;
161031;0000;12,9569;;;
161101;0000;7,57217;;;
161102;0000;7,91805;;;
161103;0000;13,047;;;
161104;0000;31,4085;;;
161105;0000;16,0214;;;
161106;0000;18,8643;;;
161107;0000;17,2527;;;
161108;0000;19,4592;;;
161109;0000;7,14658;;;
161110;0000;9,05554;;;
161111;0000;8,4588;;;
161112;0000;5,49038;;;
161113;0000;13,4483;;;
161114;0000;18,16;;;
161115;0000;22,2852;;;
161116;0000;17,6776;;;
161117;0000;13,9805;;;
161118;0000;12,0076;;;
161119;0000;10,0567;;;
161120;0000;22,2518;;;
161121;0000;13,771;;;
161122;0000;10,6597;;;
161123;0000;3,94109;;;
161124;0000;3,98779;;;
161125;0000;7,85225;;;
161126;0000;7,46067;;;
161127;0000;3,78025;;;
161128;0000;6,47921;;;
161129;0000;7,19258;;;
161130;0000;3,94796;;;
161201;0000;3,48279;;;
161202;0000;6,40175;;;
161203;0000;17,8756;;;
161204;0000;19,9615;;;
161205;0000;7,95558;;;
161206;0000;3,20438;;;
161207;0000;7,98271;;;
161208;0000;2,73842;;;
161209;0000;3,71183;;;
161210;0000;5,06138;;;
161211;0000;6,85391;;;
161212;0000;5,82354;;;
161213;0000;8,0995;;;
161214;0000;6,04179;;;
161215;0000;5,4315;;;
161216;0000;7,72;;;
161217;0000;4,775;;;
161218;0000;3,84296;;;
161219;0000;4,41387;;;
161220;0000;9,46278;;;
161221;0000;5,04317;;;
161222;0000;4,92982;;;
161223;0000;5,01472;;;
161224;0000;;;1,52275;
161225;0000;;;1,46625;
161226;0000;;;3,249;
161227;0000;2,56846;;;
161228;0000;4,81704;;;
161229;0000;4,05458;;;
161230;0000;5,69476;;;
161231;0000;9,20029;;;
170101;0000;13,033;;;
170102;0000;16,5365;;;
170103;0000;6,44621;;;
170104;0000;8,97655;;;
170105;0000;8,55;;;
170106;0000;17,0064;;;
170107;0000;8,19983;;;
170108;0000;7,17792;;;
170109;0000;10,1518;;;
170110;0000;5,3185;;;
170111;0000;7,0885;;;
170112;0000;17,4944;;;
170113;0000;7,11992;;;
170114;0000;3,69521;;;
170115;0000;3,617;;;
170116;0000;13,4026;;;
170117;0000;4,32562;;;
170118;0000;6,23167;;;
170119;0000;6,89133;;;
170120;0000;4,58996;;;
170121;0000;6,19521;;;
170122;0000;9,09096;;;
170123;0000;8,89679;;;
170124;0000;5,84959;;;
170125;0000;4,93517;;;
170126;0000;;;;
170127;0000;4,81592;;;
170128;0000;5,37471;;;
170129;0000;7,47704;;;
170130;0000;7,30933;;;
170131;0000;9,00546;;;
170201;0000;8,36038;;;
170202;0000;9,0217;;;
170203;0000;6,57471;;;
170204;0000;7,42467;;;
170205;0000;7,29134;;;
170206;0000;5,72329;;;
170207;0000;3,99208;;;
170208;0000;5,76005;;;
170209;0000;5,30421;;;
170210;0000;4,51725;;;
170211;0000;4,57413;;;
170212;0000;5,62146;;;
170213;0000;5,576;;;
170214;0000;5,53296;;;
170215;0000;3,89188;;;
170216;0000;8,92842;;;
170217;0000;9,46959;;;
170218;0000;13,31;;;
170219;0000;10,7048;;;
170220;0000;13,2435;;;
170221;0000;11,6049;;;
170222;0000;5,79391;;;
170223;0000;4,54083;;;
170224;0000;6,11855;;;
170225;0000;5,74817;;;
170226;0000;5,12463;;;
170227;0000;5,52234;;;
170228;0000;7,253;;;
170301;0000;8,04791;;;
170302;0000;7,25308;;;
170303;0000;14,0297;;;
170304;0000;11,8859;;;
170305;0000;14,7329;;;
170306;0000;31,5026;;;
170307;0000;42,7996;;;
170308;0000;21,1332;;;
170309;0000;12,4572;;;
170310;0000;13,2326;;;
170311;0000;6,19263;;;
170312;0000;5,53059;;;
170313;0000;10,8786;;;
170314;0000;8,03891;;;
170315;0000;8,94708;;;
170316;0000;20,8211;;;
170317;0000;13,4381;;;
170318;0000;17,8555;;;
170319;0000;4,68654;;;
170320;0000;11,9562;;;
170321;0000;10,3906;;;
170322;0000;26,7258;;;
170323;0000;16,1572;;;
170324;0000;18,965;;;
170325;0000;48,5475;;;
170326;0000;56,445;;;
170327;0000;26,4154;;;
170328;0000;59,7146;;;
170329;0000;48,7559;;;
170330;0000;54,3317;;;
170331;0000;40,6238;;;
170401;0000;71,3733;;;
170402;0000;46,4069;;;
170403;0000;18,2176;;;
170404;0000;23,2841;;;
170405;0000;21,028;;;
170406;0000;44,6641;;;
170407;0000;108,94;;;
170408;0000;97,6801;;;
170409;0000;24,4154;;;
170410;0000;34,1975;;;
170411;0000;55,0475;;;
170412;0000;205,017;;;
170413;0000;247,964;;;
170414;0000;173,398;;;
170415;0000;130,387;;;
170416;0000;208,805;;;
170417;0000;153,648;;;
170418;0000;40,9833;;;
170419;0000;26,0125;;;
170420;0000;20,9794;;;
170421;0000;15,8367;;;
170422;0000;22,8732;;;
170423;0000;29,2378;;;
170424;0000;44,9706;;;
170425;0000;26,4928;;;
170426;0000;24,1035;;;
170427;0000;27,5945;;;
170428;0000;9,64029;;;
170429;0000;31,8406;;;
170430;0000;9,46538;;;
170501;0000;37;;;
170502;0000;24;;;
170503;0000;65;;;
170504;0000;45;;;
170505;0000;128;;;
170506;0000;128;;;
170507;0000;86;;;
170508;0000;84;;;
170509;0000;181;;;
170510;0000;263;;;
170511;0000;197;;;
170512;0000;180;;;
170513;0000;130;;;
170514;0000;36;;;
170515;0000;69;;;
170516;0000;77;;;
170517;0000;88;;;
170518;0000;113;;;
170519;0000;51;;;
170520;0000;28;;;
170521;0000;30;;;
170522;0000;37;;;
170523;0000;33;;;
170524;0000;63;;;
170525;0000;25;;;
170526;0000;59;;;
170527;0000;25;;;
170528;0000;85;;;
170529;0000;175;;;
170530;0000;;;;
170531;0000;147;;;
170601;0000;56;;;
170602;0000;64;;;
170603;0000;65;;;
170604;0000;45;;;
170605;0000;31;;;
170606;0000;22;;;
170607;0000;64;;;
170608;0000;20;;;
170609;0000;13;;;
170610;0000;34;;;
170611;0000;24;;;
170612;0000;38;;;
170613;0000;77;;;
170614;0000;;;;
170615;0000;178;;;
170616;0000;161;;;
170617;0000;221;;;
170618;0000;59;;;
170619;0000;103;;;
170620;0000;223;;;
170621;0000;227;;;
170622;0000;133;;;
170623;0000;123;;;
170624;0000;157;;;
170625;0000;192;;;
170626;0000;152;;;
170627;0000;207;;;
170628;0000;91;;;
170629;0000;105;;;
170630;0000;238;;;
170701;0000;111;;;
170702;0000;231;;;
170703;0000;143;;;
170704;0000;144;;;
170705;0000;180;;;
170706;0000;39;;;
170707;0000;120;;;
170708;0000;162;;;
170709;0000;44;;;
170710;0000;43;;;
170711;0000;52;;;
170712;0000;96;;;
170713;0000;68;;;
170714;0000;212;;;
170715;0000;261;;;
170716;0000;62;;;
170717;0000;43;;;
170718;0000;22;;;
170719;0000;51;;;
170720;0000;74;;;
170721;0000;87;;;
170722;0000;93;;;
170723;0000;38;;;
170724;0000;33;;;
170725;0000;39;;;
170726;0000;94;;;
170727;0000;70;;;
170728;0000;46;;;
170729;0000;74;;;
170730;0000;122;;;
170731;0000;46;;;
170801;0000;24;;;
170802;0000;17;;;
170803;0000;38;;;
170804;0000;96;;;
170805;0000;119;;;
170806;0000;85;;;
170807;0000;75;;;
170808;0000;154;;;
170809;0000;193;;;
170810;0000;140;;;
170811;0000;96;;;
170812;0000;53;;;
170813;0000;46;;;
170814;0000;32;;;
170815;0000;26;;;
170816;0000;31;;;
170817;0000;75;;;
170818;0000;59;;;
170819;0000;41;;;
170820;0000;11;;;
170821;0000;60;;;
170822;0000;35;;;
170823;0000;88;;;
170824;0000;47;;;
170825;0000;65;;;
170826;0000;68;;;
170827;0000;106;;;
170828;0000;169;;;
170829;0000;32;;;
170830;0000;92;;;
170831;0000;45;;;
170901;0000;74;;;
170902;0000;21;;;
170903;0000;31;;;
170904;0000;57;;;
170905;0000;37;;;
170906;0000;35;;;
170907;0000;46;;;
170908;0000;62;;;
170909;0000;43;;;
170910;0000;28;;;
170911;0000;22;;;
170912;0000;13;;;
170913;0000;41;;;
170914;0000;22;;;
170915;0000;11;;;
170916;0000;10;;;
170917;0000;15;;;
170918;0000;26;;;
170919;0000;18;;;
170920;0000;11;;;
170921;0000;13;;;
170922;0000;19;;;
170923;0000;23;;;
170924;0000;18;;;
170925;0000;32;;;
170926;0000;36;;;
170927;0000;34;;;
170928;0000;67;;;
170929;0000;48;;;
170930;0000;23;;;
171001;0000;11;;;
171002;0000;26;;;
171003;0000;43;;;
171004;0000;21;;;
171005;0000;23;;;
171006;0000;11;;;
171007;0000;17;;;
171008;0000;47;;;
171009;0000;23;;;
171010;0000;57;;;
171011;0000;45;;;
171012;0000;25;;;
171013;0000;12;;;
171014;0000;8;;;
171015;0000;8;;;
171016;0000;15;;;
171017;0000;17;;;
171018;0000;17;;;
171019;0000;16;;;
171020;0000;25;;;
171021;0000;15;;;
171022;0000;21;;;
171023;0000;18;;;
171024;0000;13;;;
171025;0000;12;;;
171026;0000;17;;;
171027;0000;18;;;
171028;0000;13;;;
171029;0000;18;;;
171030;0000;17;;;
171031;0000;36;;;
171101;0000;13;;;
171102;0000;14;;;
171103;0000;20;;;
171104;0000;16;;;
171105;0000;23;;;
171106;0000;16;;;
171107;0000;20;;;
171108;0000;20;;;
171109;0000;17;;;
171110;0000;12;;;
171111;0000;18;;;
171112;0000;11;;;
171113;0000;9;;;
171114;0000;7;;;
171115;0000;6;;;
171116;0000;8;;;
171117;0000;11;;;
171118;0000;10;;;
171119;0000;9;;;
171120;0000;11;;;
171121;0000;13;;;
171122;0000;8;;;
171123;0000;10;;;
171124;0000;7;;;
171125;0000;3;;;
171126;0000;13;;;
171127;0000;8;;;
171128;0000;4;;;
171129;0000;7;;;
171130;0000;14;;;
171201;0000;11;;;
171202;0000;12;;;
171203;0000;6;;;
171204;0000;5;;;
171205;0000;3;;;
171206;0000;3;;;
171207;0000;5;;;
171208;0000;5;;;
171209;0000;4;;;
171210;0000;3;;;
171211;0000;3;;;
171212;0000;3;;;
171213;0000;5;;;
171214;0000;6;;;
171215;0000;12;;;
171216;0000;10;;;
171217;0000;5;;;
171218;0000;;;2;
171219;0000;;;1;
171220;0000;;;1;
171221;0000;;;5;
171222;0000;14;;;
171223;0000;9;;;
171224;0000;5;;;
171225;0000;7;;;
171226;0000;5;;;
171227;0000;9;;;
171228;0000;6;;;
171229;0000;7;;;
171230;0000;4;;;
171231;0000;5;;;
180101;0000;5;;;
180102;0000;5;;;
180103;0000;7;;;
180104;0000;11;;;
180105;0000;5;;;
180106;0000;8;;;
180107;0000;6;;;
180108;0000;4;;;
180109;0000;4;;;
180110;0000;5;;;
180111;0000;2;;;
180112;0000;5;;;
180113;0000;7;;;
180114;0000;3;;;
180115;0000;5;;;
180116;0000;4;;;
180117;0000;6;;;
180118;0000;6;;;
180119;0000;5;;;
180120;0000;3;;;
180121;0000;4;;;
180122;0000;8;;;
180123;0000;7;;;
180124;0000;8;;;
180125;0000;4;;;
180126;0000;5;;;
180127;0000;5;;;
180128;0000;6;;;
180129;0000;7;;;
180130;0000;6;;;
180131;0000;6;;;
180201;0000;4;;;
180202;0000;3;;;
180203;0000;4;;;
180204;0000;4;;;
180205;0000;5;;;
180206;0000;8;;;
180207;0000;5;;;
180208;0000;11;;;
180209;0000;11;;;
180210;0000;15;;;
180211;0000;23;;;
180212;0000;6;;;
180213;0000;3;;;
180214;0000;4;;;
180215;0000;3;;;
180216;0000;3;;;
180217;0000;4;;;
180218;0000;3;;;
180219;0000;6;;;
180220;0000;7;;;
180221;0000;8;;;
180222;0000;7;;;
180223;0000;9;;;
180224;0000;5;;;
180225;0000;3;;;
180226;0000;5;;;
180227;0000;5;;;
180228;0000;4;;;
180301;0000;4;;;
180302;0000;4;;;
180303;0000;12;;;
180304;0000;17;;;
180305;0000;7;;;
180306;0000;6;;;
180307;0000;11;;;
180308;0000;8;;;
180309;0000;9;;;
180310;0000;;;;
180311;0000;12;;;
180312;0000;12;;;
180313;0000;13;;;
180314;0000;18;;;
180315;0000;16;;;
180316;0000;31;;;
180317;0000;28;;;
180318;0000;9;;;
180319;0000;33;;;
180320;0000;97;;;
180321;0000;83;;;
180322;0000;20;;;
180323;0000;34;;;
180324;0000;34;;;
180325;0000;13;;;
180326;0000;18;;;
180327;0000;20;;;
180328;0000;16;;;
180329;0000;17;;;
180330;0000;11;;;
180331;0000;18;;;
180401;0000;12;;;
180402;0000;14;;;
180403;0000;32;;;
180404;0000;25;;;
180405;0000;21;;;
180406;0000;49;;;
180407;0000;52;;;
180408;0000;50;;;
180409;0000;61;;;
180410;0000;28;;;
180411;0000;29;;;
180412;0000;42;;;
180413;0000;92;;;
180414;0000;32;;;
180415;0000;25;;;
180416;0000;21;;;
180417;0000;9;;;
180418;0000;17;;;
180419;0000;34;;;
180420;0000;31;;;
180421;0000;28;;;
180422;0000;20;;;
180423;0000;21;;;
180424;0000;41;;;
180425;0000;84;;;
180426;0000;41;;;
180427;0000;42;;;
180428;0000;43;;;
180429;0000;49;;;
180430;0000;151;;;
180501;0000;63;;;
180502;0000;82;;;
180503;0000;21;;;
180504;0000;76;;;
180505;0000;141;;;
180506;0000;211;;;
180507;0000;201;;;
180508;0000;36;;;
180509;0000;25;;;
180510;0000;23;;;
180511;0000;54;;;
180512;0000;126;;;
180513;0000;124;;;
180514;0000;81;;;
180515;0000;66;;;
180516;0000;;;;
180517;0000;143;;;
180518;0000;139;;;
180519;0000;60;;;
180520;0000;36;;;
180521;0000;14;;;
180522;0000;21;;;
180523;0000;37;;;
180524;0000;46;;;
180525;0000;70;;;
180526;0000;24;;;
180527;0000;110;;;
180528;0000;47;;;
180529;0000;70;;;
180530;0000;59;;;
180531;0000;49;;;
180601;0000;254;;;
180602;0000;543;;;
180603;0000;481;;;
180604;0000;218;;;
180605;0000;132;;;
180606;0000;93;;;
180607;0000;129;;;
180608;0000;73;;;
180609;0000;206;;;
180610;0000;359;;;
180611;0000;208;;;
180612;0000;373;;;
180613;0000;328;;;
180614;0000;242;;;
180615;0000;130;;;
180616;0000;91;;;
180617;0000;138;;;
180618;0000;86;;;
180619;0000;33;;;
180620;0000;50;;;
180621;0000;40;;;
180622;0000;80;;;
180623;0000;112;;;
180624;0000;32;;;
180625;0000;61;;;
180626;0000;50;;;
180627;0000;62;;;
180628;0000;53;;;
180629;0000;54;;;
180630;0000;114;;;
180701;0000;111;;;
180702;0000;244;;;
180703;0000;314;;;
180704;0000;289;;;
180705;0000;138;;;
180706;0000;235;;;
180707;0000;416;;;
180708;0000;337;;;
180709;0000;334;;;
180710;0000;130;;;
180711;0000;84;;;
180712;0000;60;;;
180713;0000;86;;;
180714;0000;105;;;
180715;0000;95;;;
180716;0000;53;;;
180717;0000;102;;;
180718;0000;64;;;
180719;0000;71;;;
180720;0000;85;;;
180721;0000;61;;;
180722;0000;47;;;
180723;0000;30;;;
180724;0000;95;;;
180725;0000;95;;;
180726;0000;380;;;
180727;0000;107;;;
180728;0000;27;;;
180729;0000;25;;;
180730;0000;32;;;
180731;0000;17;;;
180801;0000;95;;;
180802;0000;205;;;
180803;0000;31;;;
180804;0000;52;;;
180805;0000;40;;;
180806;0000;75;;;
180807;0000;68;;;
180808;0000;177;;;
180809;0000;151;;;
180810;0000;140;;;
180811;0000;210;;;
180812;0000;176;;;
180813;0000;71;;;
180814;0000;23;;;
180815;0000;22;;;
180816;0000;34;;;
180817;0000;36;;;
180818;0000;44;;;
180819;0000;35;;;
180820;0000;98;;;
180821;0000;99;;;
180822;0000;96;;;
180823;0000;27;;;
180824;0000;35;;;
180825;0000;47;;;
180826;0000;32;;;
180827;0000;25;;;
180828;0000;49;;;
180829;0000;50;;;
180830;0000;146;;;
180831;0000;218;;;
180901;0000;69;;;
180902;0000;28;;;
180903;0000;78;;;
180904;0000;42;;;
180905;0000;92;;;
180906;0000;18;;;
180907;0000;18;;;
180908;0000;32;;;
180909;0000;55;;;
180910;0000;54;;;
180911;0000;23;;;
180912;0000;12;;;
180913;0000;11;;;
180914;0000;18;;;
180915;0000;23;;;
180916;0000;25;;;
180917;0000;17;;;
180918;0000;24;;;
180919;0000;30;;;
180920;0000;34;;;
180921;0000;32;;;
180922;0000;35;;;
180923;0000;24;;;
180924;0000;50;;;
180925;0000;49;;;
180926;0000;41;;;
180927;0000;52;;;
180928;0000;33;;;
180929;0000;34;;;
180930;0000;25;;;
181001;0000;21;;;
181002;0000;16;;;
181003;0000;29;;;
181004;0000;27;;;
181005;0000;51;;;
181006;0000;20;;;
181007;0000;20;;;
181008;0000;23;;;
181009;0000;22;;;
181010;0000;19;;;
181011;0000;20;;;
181012;0000;15;;;
181013;0000;8;;;
181014;0000;12;;;
181015;0000;14;;;
181016;0000;83;;;
181017;0000;56;;;
181018;0000;27;;;
181019;0000;26;;;
181020;0000;34;;;
181021;0000;21;;;
181022;0000;45;;;
181023;0000;66;;;
181024;0000;47;;;
181025;0000;19;;;
181026;0000;18;;;
181027;0000;15;;;
181028;0000;14;;;
181029;0000;6;;;
181030;0000;18;;;
181031;0000;45;;;
181101;0000;28;;;
181102;0000;18;;;
181103;0000;15;;;
181104;0000;12;;;
181105;0000;29;;;
181106;0000;21;;;
181107;0000;21;;;
181108;0000;22;;;
181109;0000;26;;;
181110;0000;36;;;
181111;0000;19;;;
181112;0000;8;;;
181113;0000;7;;;
181114;0000;10;;;
181115;0000;8;;;
181116;0000;9;;;
181117;0000;11;;;
181118;0000;5;;;
181119;0000;12;;;
181120;0000;22;;;
181121;0000;28;;;
181122;0000;9;;;
181123;0000;6;;;
181124;0000;7;;;
181125;0000;16;;;
181126;0000;12;;;
181127;0000;8;;;
181128;0000;7;;;
181129;0000;9;;;
181130;0000;12;;;
181201;0000;13;;;
181202;0000;6;;;
181203;0000;10;;;
181204;0000;6;;;
181205;0000;13;;;
181206;0000;4;;;
181207;0000;6;;;
181208;0000;5;;;
181209;0000;4;;;
181210;0000;5;;;
181211;0000;6;;;
181212;0000;5;;;
181213;0000;11;;;
181214;0000;7;;;
181215;0000;5;;;
181216;0000;6;;;
181217;0000;10;;;
181218;0000;8;;;
181219;0000;6;;;
181220;0000;5;;;
181221;0000;4;;;
181222;0000;6;;;
181223;0000;5;;;
181224;0000;5;;;
181225;0000;5;;;
181226;0000;;;8;
181227;0000;;;1;
181228;0000;;;1;
181229;0000;;;4;
181230;0000;3;;;
181231;0000;9;;;
190101;0000;12;;;
190102;0000;7;;;
190103;0000;3;;;
190104;0000;2;;;
190105;0000;3;;;
190106;0000;5;;;
190107;0000;14;;;
190108;0000;16;;;
190109;0000;13;;;
190110;0000;6;;;
190111;0000;7;;;
190112;0000;13;;;
190113;0000;9;;;
190114;0000;4;;;
190115;0000;8;;;
190116;0000;12;;;
190117;0000;13;;;
190118;0000;4;;;
190119;0000;2;;;
190120;0000;2;;;
190121;0000;8;;;
190122;0000;7;;;
190123;0000;4;;;
190124;0000;5;;;
190125;0000;9;;;
190126;0000;8;;;
190127;0000;5;;;
190128;0000;3;;;
